id,q#,chapter,type,subject,order,q_se,q_en,ans_se,ans_en,q_alt_se,q_alt_en,ans_alt_se,ans_alt_en
203,25,6,essay,ERR,,"Ett program kan ge upphov till tre olika typer av fel: syntaktiska fel (syntactic errors), exekveringsfel (runtime errors) och logiska fel (logic errors). Vilket typ av fel är minst allvarliga och varför?","A program can give rise to three different types of errors: syntactic errors, runtime errors and logic errors. What type of errors are least serious and why?","Syntaktiska fel, eftersom de upptäcks redan av kompilatorn. ","Syntax errors, because they are already detected by the compiler.",,,,
204,,6,essay,CNP,,Vad är concurrent programming? ,What is concurrent programming?,Programmering där man programmerar flera parallella exekveringsvägar (trådar) i samma program. ,Programming where you program several parallel execution paths (threads) in the same program.,,,,
205,,6,essay,SSI,,"Beskriv kortfattat begreppen sekvens, selektion och iteration. ","Briefly describe the concepts of sequence, selection and iteration.","En sekvens är en följd av instruktioner som utförs i ordning. 
Selektion är en valmöjlighet - att utföra olika instruktioner beroende på programmets tillstånd (t ex genom if-satser). 
Iteration innebär att samma instruktion eller sekvens av instruktioner körs flera gånger (t ex med loopar). 
","A sequence is a succession of instructions executed in order.
Selection is a choice - to execute different instructions depending on the state of the program (e.g. through if statements).
Iteration means that the same instruction or sequence of instructions is executed several times (eg with loops).",,,,
206,,6,essay,DTP,,En variabel pekar på ett bitmönster i lagrat i minnet; vad behöver vi veta för att kunna tolka bitmönstret på rätt sätt? ,A variable points to a bit pattern in stored in memory; what do we need to know to interpret the bit pattern correctly?,Vilken datatyp variabelns data har. Det är datatypen som anger hur programmet skall tolka det bitmönster som ligger lagrat i variabeln. ,What data type the variable's data has. It is the data type that specifies how the program should interpret the bit pattern stored in the variable.,,,,
207,24,6,essay,SSI,,"Vad innebär begreppen sekvens, selektion och iteration? ","What do the terms sequence, selection and iteration mean?",Sekvens: en följd av instruktioner som utförs i ordning. Selektion: olika instruktioner utförs beroende på programmets tillstånd. Iteration: samma (sekvens av) instruktioner utförs flera gånger (beroende på programmets tillstånd). ,Sequence: a sequence of instructions that are executed in order. Selection: different instructions are executed depending on the state of the program. Iteration: the same (sequence of) instructions are executed multiple times (depending on the state of the program).,,,,
208,24,6,essay,ALG,,Ge exempel på två olika sätt att beskriva algoritmer.,Give examples of two different ways of describing algorithms.,Flödesdiagram och pseudokod.,Flow charts and pseudo code.,,,,
209,,6,essay,PRL,,"Vilken generation av programmeringsspråk kännetecknas av:
- ett-till-ett-förhållande mellan språkinstruktioner och maskininstruktioner; - inneboende maskin-beroende?","What generation of programming languages is characterized by: 
- one-to-one correspondence between language instructions and machine instructions; - inherently machine-dependent?",Andra generationen.,Second generation. ,,,,
210,,6,essay,PRL,,"Vilken generation av programmeringsspråk kännetecknas av:
- maskinoberoende (vanligtvis);
- varje primitiv motsvarar en sekvens av maskinspråksinstruktioner?","What generation of programming languages is characterized by:
- machine independent (mostly);
- each primitive corresponds to a sequence of machine language instructions?",Tredje generationen.,Third generation. ,,,,
211,,6,essay,DTP,,Vad är en literal i ett programmeringsspråk? ,What is a literal in a programming language? ,Ett explicit värde av en viss datatyp.,An explicit value of a certain data type. ,,,,
212,,6,essay,DTP,,Vad är en konstant i ett programmeringsspråk? ,What is a constant in a programming language? ,En namngiven literal. / Ett namngivet värde av en viss datatyp.,A named literal. / A named value of a certain data type. ,,,,
213,,6,essay,PRL,,"I objektorienterad programmering har man klasser och objekt. Utöver detta så finns det tre egenskaper som kännetecknar objektorienterad programmering, vilka?","In object-oriented programming you have classes and objects. In addition to this there are three features that characterize object-oriented programming, which ones?","Arv, inkapsling och polymorfism.","Inheritance, encapsulation and polymorphism.",,,,
214,,6,essay,PRL,,Översättningen från källkod till maskinkod sker i tre steg av tre olika enheter i översättaren; vad kallas dessa tre enheter?,The translation of source code to machine code is done in three steps by three different units in the translator; what are these three units called?,"Lexikalisk analysator, parser och kodgenerator. Lexical analyzer, parser och code generator.",,,,,
215,,6,essay,PRL,,Vad är en tråd i concurrent programmering? ,What is a thread in concurrent programming?, En concurrent/parallell exekveringsväg inom samma program/process. ,A concurrent/parallel execution path within the same program/process.,,,,
216,,6,essay,PRL,,Vad är den grundläggande byggstenen i logikprogrammeringsspråk?,What is the basic building block in logic programming languages?,Logisk formel (predikat).,Logical formula (predicate).,,,,
217,23,6,essay,VAR,,Vad är en variabel i ett programmeringsspråk? ,What is a variable in a programming language?,En variabel är ett namngivet utrymme i primärminnet (main memory). ,A variable is a named space in main memory.,,,,
218,,6,essay,PRL,,"Vad är syftet med att använda procedurenheter (subprogram, subrutin, procedur, funktion, metod, predikat etc.) vid programmering?","What is the purpose of using procedural units (subprogram, subroutine, procedure, function, method, predicate etc.) in programming?",Används för att förenkla programutveckling genom abstraktion.,Used to simplify program development through abstraction.,,,,
219,,6,essay,PRL,,Vad innebär arv i objektorienterad programmering?,What does inheritance mean in object-oriented programming?,Arv tillåter en klass att omfatta egenskaper hos en annan klass utan att explicit behöva deklarera dem.,Inheritance allows one class to encompass the characteristics of another class without having to explicitly declare them.,,,,
220,24,6,essay,PRL,,Vad är skillnaden mellan en kompilator (compiler) och en interpretator (interpreter)? ,What is the difference between a compiler and an interpreter?,En kompilator (compiler) översätter programkod/källkod till körbar kod. En interpretator (interpreter) tolkar programkod/källkod vid själva körningen och utför då instruktionerna i programkoden/källkoden. ,A compiler translates program code/source code into executable code. An interpreter (interpreter) interprets program code/source code during the actual execution and then executes the instructions in the program code/source code.,,,,
221,25,6,essay,PRL,,"Alla programmeringsspråk har tre typer av styrning av programflödet, vilka?","All programming languages have three types of program control flow, which? ","Sekvens, selektion och repetition.","Sequence, selection and repetition.",,,,
222,,7,essay,AGL,,Vilka tre saker kännetecknar lättrörliga utvecklingsmodeller (agile development models)? ,What three things characterize agile development models?,1) Inkrementella och iterativa; 2) korta feedback-loopar; 3) utforskande när det gäller krav. ,,,,,
223,,7,essay,PTN,,Vad är design patterns? ,What are design patterns?,Generella lösningar på återkommande problem. ,General solutions to recurring problems.,,,,
224,,7,essay,DIG,,Vad är syftet med use case diagram? ,What is the purpose of use case diagram?,Att beskriva det föreslagna systemet från användarens synvinkel. ,To describe the proposed system from the user's point of view.,,,,
225,,7,essay,DIG,,Vad är syftet med klassdiagram (class diagrams)? ,What is the purpose of class diagrams?,Att beskriva strukturen av olika typer av objekt (klasser) och relationen mellan olika typer av objekt (klasser). ,To describe the structure of different types of objects (classes) and the relationship between different types of objects (classes).,,,,
226,,7,essay,DLC,,Vilka är de fyra traditionella utvecklingsfaserna vid programvaruutveckling (the traditional development phases of the software life cycle)? ,What are the four traditional development phases in software development (the traditional development phases of the software life cycle)?,"Kravanalys, design, implementation, testning. ","Needs analysis, design, implementation, and evaluation",,,,
227,,7,essay,MDL,,Vad är huvudsyftet med att dela upp en programvara i moduler? ,What is the main purpose of dividing a software into modules?,För att förenkla programvaruutveckling genom att en enskild modul är överblickbar och kan utvecklas oberoende av andra moduler. ,To simplify software development by making a single module manageable and can be developed independently of other modules.,,,,
228,,7,essay,MDL,,Vilka är de tre önskvärda egenskaperna för moduler som man vill uppnå när man delar upp en programvara i moduler? ,What are the three desirable characteristics of modules that one wants to achieve when dividing a software into modules?,"Hög sammanhållning (cohesion), låg koppling (coupling), information hiding. ","High cohesion, low coupling, information hiding.",,,,
229,,7,essay,TST,,Vad är det för skillnad på glass-box-testning (glass-box testing) och black-box-testning (black-box testing)? ,What is the difference between glass-box testing and black-box testing?,Glass-box testning innebär att testaren känner till den interna strukturen av programvaran som skall testas och utnyttjar denna information vid konstruktion av testerna. Detta till skillnad från black-box testning som inte bygger på kunskap om programvarans interna struktur. ,"Glass-box testing means that the tester knows the internal structure of the software to be tested and uses this information when designing the tests. This is in contrast to black-box testing, which is not based on knowledge of the software's internal structure.",,,,
230,,7,essay,RLT,,"Beskriv skillnaderna mellan en-till-en- (one-to-one), en-till-många- (one-to-many) och många-till- många- (many-to-many) relationer, gärna med hjälp av exempel.","Describe the differences between one-to-one, one-to-many and many-to-many relationships, preferably using example.","Ett exempel på en en-till-en-relation är ”man-hustru”, eftersom en man endast kan vara man till en hustru och en kvinna endast kan vara hustru till en man (enligt svenska lagar). Ett exempel på en en-till- många-relation är ”mamma-barn”, eftersom ett barn endast har en (biologisk) mamma men en kvinna kan vara mamma till många barn. Ett exempel på en många-till-många-relation är ”bror-syster”, eftersom en pojke kan ha flera systrar och en flicka kan ha flera bröder. ","An example of a one-to-one relationship is ""husband-wife"", since a man can only be the husband of one wife and a woman can only be the wife of one man (according to Swedish law). An example of a one-to-many relationship is ""mother-child"", because a child only has one (biological) mother, but a woman can be the mother of many children. An example of a many-to-many relationship is ""brother-sister"", since a boy can have multiple sisters and a girl can have multiple brothers.",,,,
231,,7,essay,CME,,Vad kallas programvarutekniken som bygger på att konstruera programvara genom att kombinera olika färdiga komponenter (istället för att utveckla egna komponenter)? ,What is the software technology called that is based on constructing software by combining different ready-made components (instead of developing own components)?,Component architecture eller component-based software engineering. ,Component architecture or component-based software engineering.,,,,
232,,7,essay,RLT,,"Beskriv ett exempel på var och en av de olika typerna av relation: en-till-en (one-to-one), en-till- många (one-to-many) och många-till-många (many-to-many)! ","Describe an example of each of the different types of relationship: one-to-one (one-to-one), one-to-many (one-to-many), and many-to-many (many-to- many)!","Ett exempel på en en-till-en-relation är ”man-hustru”, eftersom en man endast kan vara man till en hustru och en kvinna endast kan vara hustru till en man (enligt svenska lagar). Ett exempel på en en-till- många-relation är ”mamma-barn”, eftersom ett barn endast har en (biologisk) mamma men en kvinna kan vara mamma till många barn. Ett exempel på en många-till-många-relation är ”bror-syster”, eftersom en pojke kan ha flera systrar och en flicka kan ha flera bröder. ","An example of a one-to-one relationship is ""husband-wife"", since a man can only be the husband of one wife and a woman can only be the wife of one man (according to Swedish law). An example of a one-to-many relationship is ""mother-child"", because a child only has one (biological) mother, but a woman can be the mother of many children. An example of a many-to-many relationship is ""brother-sister"", since a boy can have multiple sisters and a girl can have multiple brothers.",,,,
233,,7,essay,SFD,,Vilka är de fyra stegen i traditionell mjukvaruutveckling (med t ex vattenfallsmodellen)? ,"What are the four steps in traditional software development (using, for example, the waterfall model)?","Kravanalys, design, implementation, testning. ","Needs analysis, design, implementation, testing.",,,,
234,,7,essay,MDL,,Beskriv kortfattat några fördelar med att dela upp program i moduler? ,Briefly describe some advantages of dividing programs into modules?,Att förenkla programvaruutvecklingen genom att en enskild modul är överblickbar och kan utvecklas oberoende av andra moduler. ,Simplifying software development by making a single module manageable and can be developed independently of other modules.,,,,
235,,7,essay,PRT,,Vad innebär prototyping? ,What does prototyping mean?,Prototyping innebär att man utvecklar och utvärderar en prototyp (en ofärdig version av det som skall utvecklas). ,Prototyping involves developing and evaluating a prototype (an unfinished version of what is to be developed).,,,,
236,,7,essay,SCR,,Beskriv vad en sprint inom agil utveckling med Scrum är? ,Describe what a sprint in agile development with Scrum is?,En sprint är en fas/iteration på 2 till 4 veckor som ska leverera något resultat (a sprint is an iteration of 2 to 4 weeks and should have some deliveries). ,A sprint is a phase/iteration of 2 to 4 weeks that should deliver some result (a sprint is an iteration of 2 to 4 weeks and should have some deliveries).,,,,
237,26,7,essay,TST,,Vad utmärker black-box-testning (black-box testing)? ,What characterizes black-box testing?,"Vid black-box testning har testaren ingen kunskap om programvarans interna struktur, till skillnad från glass-box testning som innebär att testaren känner till den interna strukturen av programvaran som skall testas och utnyttjar denna information vid konstruktion av testerna. ","In black-box testing, the tester has no knowledge of the software's internal structure, unlike glass-box testing, which means that the tester knows the internal structure of the software to be tested and uses this information when designing the tests.",,,,
238,,7,essay,PTN,,Vad är design patterns (designmönster) och vad är de bra för? ,What are design patterns and what are they good for?,Generella lösningar på återkommande problem. Genom att utgå från färdiga och bra lösningar kan man snabba upp utvecklingstiden och också göra program mer robusta då designmönstren ofta är väl beprövade. Designmönster ger också utvecklare och systemarkitekter en gemensamt vokabulär för att diskutera och referera till olika lösningar. ,"General solutions to recurring problems. By starting from ready-made and good solutions, you can speed up the development time and also make programs more robust, as the design patterns are often well-proven. Design patterns also provide developers and system architects with a common vocabulary to discuss and refer to different solutions.",,,,
239,,7,essay,CCS,,Förklara begreppen koppling (coupling) och sammanhållning (cohesion)? ,Explain the concepts of coupling and cohesion?,"Koppling (coupling) är ett mått på hur sammanflätade olika moduler/komponenter är i ett mjukvarusystem (the linkage between modules). Låg coupling är bra. 
Sammanhållning (cohesion) är ett mått på hur väl innehållet i en modul hänger ihop, hur fokuserad den är (the internal binding within a module). Hög cohesion är bra. ","Coupling is a measure of how intertwined different modules/components are in a software system (the linkage between modules). Low coupling is good. 
Cohesion is a measure of how well the content of a module hangs together, how focused it is (the internal binding within a module). High cohesion is good. ",,,,
240,,7,essay,RLT,,Vilka tre olika typer av relationer mellan entiteter är viktiga att skilja på vid programvaruutveckling?,What three different types of relationships between entities are important to distinguish in software engineering?,"En-till-en, en-till-många och många-till-många.","One-to-one, one-to-many and many-to-many.",,,,
241,,7,essay,SFD,,"Vad kallas programvaruutvecklingsmetoder som värdesätter:
- individer och interaktioner mer än processer och verktyg;
- fungerande programvara mer än omfattande dokumentation; - kundsamarbete mer än kontraktsförhandlingar.
- lyhördhet för förändring mer än att följa en plan.","What are software engineering methods called that value: - individuals and interactions over processes and tools;
- working software over comprehensive documentation;
- customer collaboration over contract negotiation;
- responding to change over following a plan.",Agila.,Agile.,,,,
242,,7,essay,MDL,,Vad är en programvarumodul? ,What is a software module?,En hanterbar enhet av programvaran som endast hanterar en del av det arbete som hela programvaran ska utföra.,A manageable unit of the software that handles only part of the work that the entire software is supposed to do.,,,,
243,,7,essay,SCR,,Vad är syftet med Scrum-mötet “sprint retrospective”? ,"What is the purpose of the Scrum meeting ""sprint retrospective""?",Att förbättra själva arbetsprocessen utifrån erfarenheterna från den senaste sprinten.,To improve the work process itself based on the experiences from the last sprint.,,,,
244,,7,essay,SCR,,Hur många medlemmar bör ett utvecklingsteam ha enligt Scrum?,How many members should a development team have according to Scrum?,3 - 9.,3 - 9.,,,,
245,,7,essay,MDN,,Ge två exempel på diagram som används vid modellering (vid programvaruutveckling).,Give two examples of diagrams used in modeling (in software engineering).,"Strukturdiagram, dataflödesdiagram, användningsfallsdiagram, klassdiagram.","Structure diagram, data flow diagram, use case diagram, class diagram.",,,,
246,26,7,essay,SFD,,Vad är ett designmönster (vid programvaruutveckling)?,What is a design pattern (in software engineering)?,En förutvecklad modell för att lösa återkommande problem.,En förutvecklad modell för att lösa återkommande problem.,,,,
247,,7,essay,TST,,Vad utmärker glass-box-testning? ,What characterizes glass-box testing?,"Vid glass-box testning känner testaren till den interna strukturen hos programvaran som skall testas och utnyttjar denna information vid konstruktion av testerna, till skillnad från black-box testning då testaren inte har någon kunskap om programvarans interna struktur.","In glass-box testing, the tester knows the internal structure of the software to be tested and uses this information when designing the tests, unlike black-box testing, when the tester has no knowledge of the software's internal structure.",,,,
248,,7,essay,SCR,,Vilka 3 frågor skall varje team-medlem kort besvara vid Daily Scrum-mötena?,What 3 questions should each team member briefly answer at the Daily Scrum meetings?,Vad gjorde du igår? Vad ska du göra idag? Finns det några hinder som hindrar dig från att utföra ditt arbete?,What did you do yesterday? What will you do today? Are there any impediments preventing you from doing your work?,,,,
249,26,7,essay,SCR,,"Vad kallas Scrum-mötet, i slutet av en sprint där ni diskuterar vad som gick bra under den tidigare sprintprocessen och vad som kan förbättras inför nästa sprint?","What is the Scrum meeting, at the end of a sprint where you discuss what went well during the previous sprint process and what can be improved for the next sprint, called?",Sprint retrospective.,Sprint retrospective.,,,,
250,27,7,essay,SCR,,"Utvecklingsmetoden Scrum har tre olika roller definierade, vilka? ","The Scrum development method has three different roles defined, which ones?","Product Owner (produktägare), Scrum master och Development team. Development team-rollen delas ofta av flera (3-9) personer. ","Product Owner (product owner), Scrum master and Development team. The development team role is often shared by several (3-9) people.",,,,
251,,8,essay,DTP,,Vad är en abstrakt datatyp (abstract data type)? ,What is an abstract data type?,En datatyp som innehåller både data och operationer för att hantera datat. ,A data type that contains both data and operations to manipulate the data.,,,,
252,,8,essay,DTS,,Vad kännetecknar ett sorterat binärt träd (sorted binary tree) (”binärt sökträd”)? ,"What characterizes a sorted binary tree (""binary search tree"")?","Att varje nod i trädet har två eller färre subträd (barnnoder), att alla noder i det vänstra subträdet innehåller värden lägre än innehållet i den aktuella noden, och att alla noder i det högra subträdet innehåller värden högre än innehållet i den aktuella noden. ","That each node in the tree has two or fewer subtrees (child nodes), that all nodes in the left subtree contain values lower than the contents of the current node, and that all nodes in the right subtree contain values greater than the contents of the current node.",,,,
253,,8,essay,DTS,,Vilka är de fyra grundläggande datastrukturerna (basic data structures) utöver arrayer? ,What are the four basic data structures in addition to arrays?,"Listor, stackar, köer och träd. ","Lists, stacks, queues and trees.",,,,
254,,8,essay,DTS,,Vad är skillnaden mellan en dynamisk och en statisk datastruktur? ,What is the difference between a dynamic and a static data structure?,"En statisk datastruktur kan inte ändra form eller storlek, vilket en dynamisk datastruktur kan göra. ","A static data structure cannot change form or size, as a dynamic data structure can.",,,,
255,29,8,essay,DTS,,Vad kännetecknar ett binärt träd? ,What characterizes a binary tree?,Ett binärt träd är en trädstruktur där varje nod kan ha maximalt två barn-noder. ,A binary tree is a tree structure where each node can have a maximum of two child nodes.,,,,
256,,8,essay,DTS,,Vad är skillnaden mellan en statisk (static) och en dynamisk (dynamic) datastruktur (data structure)? ,What is the difference between a static and a dynamic data structure?,"Form och storlek (strukturen) av en statisk datastruktur förändras inte över tiden, även om innehållet kan förändras, medan form och storlek (strukturen) av en dynamisk datastruktur kan förändras. ","The shape and size (the structure) of a static data structure do not change over time, although the content may change, whereas the shape and size (the structure) of a dynamic data structure can change.",,,,
257,,8,essay,DTS,,"Kan en lista implementeras som en statisk eller dynamisk datastruktur, både och, eller varken eller? Motivera ditt svar! ","Can a list be implemented as a static or dynamic data structure, both, or neither? Motivate your answer!","En lista kan både implementeras som en statisk datastruktur, t.ex. som en array, och som en dynamisk datastruktur bestående av element och pekare. ","A list can both be implemented as a static data structure, e.g. as an array, and as a dynamic data structure consisting of elements and pointers.",,,,
258,,8,essay,DTS,,Beskriv de grundläggande datastrukturerna stack (stack) och kö (queue)? ,Describe the basic data structures stack (stack) and queue (queue)?,En stack är en lista där man lägger till och tar bort element i samma ände enligt principen ”last-in-first- out” (LIFO). En kö är en lista där man lägger till i ena änden och tar bort i den andra änden enligt principen ”first-in-first-out” (FIFO). ,"A stack is a list where you add and remove elements at the same end according to the ""last-in-first-out"" (LIFO) principle. A queue is a list where you add at one end and remove at the other end according to the ""first-in-first-out"" (FIFO) principle.",,,,
259,,8,essay,DTS,,Kan lågnivå-datastrukturen array användas för att implementera en kö (queue)? Motivera ditt svar! ,Can the low-level data structure array be used to implement a queue? Motivate your answer!,"Ja, där elementen i arrayen beskriver en cirkulär kö, och man har en pekare till köns huvud (start) och en pekare till dess svans (ände). ","Yes, where the elements of the array describe a circular queue, and you have a pointer to the queue's head (start) and a pointer to its tail (end).",,,,
260,,8,essay,DTS,,Vad är en abstrakt datastruktur? Vad är skillnaden mot en record/struct? ,What is an abstract data structure? What is the difference to a record/struct?,"En abstrakt datastruktur beskriver en datatyp och dess operationer, alltså både vad som lagras och vad man kan göra med det. 
En record/struct är en sammansatt datastruktur som är en samling av data som kan vara av olika datatyper. ","An abstract data structure describes a data type and its operations, i.e. both what is stored and what can be done with it.
A record/struct is a composite data structure that is a collection of data that can be of different data types.",,,,
261,,8,essay,DTS,,Ge ett exempel på en datastruktur som använder principen LIFO och en datastruktur som använder principen FIFO? ,Give an example of a data structure that uses the LIFO principle and a data structure that uses the FIFO principle?,"LIFO: Det senast tillagda elementet tas bort först -> Stack
FIFO: Det först tillagda elementet tas bort först -> Kö (Queue)","LIFO: The last added element is removed first -> Stack
FIFO: The first element added is removed first -> Queue",,,,
262,,8,essay,DTS,,"Listor kan lagras antingen i sammanhängande block i minnet, eller i form av länkade listor. Vilket är att föredra för statiska listor, och vilket är bättre för dynamiska listor? ","Lists can be stored either in contiguous blocks in memory, or in the form of linked lists. Which is preferred for static lists, and which is better for dynamic lists?",För statiska listor vars innehåll inte förändras är sammanhängande minnesblock att föredra då det ger bra prestanda vid läsning och använder lite minne/lagringskapacitet. För dynamiska listor som kan förändras kostar det mycket att lägga till och ta bort element i ett sammanhängande minnesblock eftersom det kan leda till att mycket data behöver flyttas. Därför är det vanligtvis bättre med länkade listor för dynamiska listor då insättning och borttag inte kräver mer än att några pekare ändras (data behöver inte flyttas runt). ,"For static lists whose content does not change, contiguous blocks of memory are preferred as they provide good read performance and use little memory/storage capacity. For dynamic lists that can change, adding and removing elements in a contiguous block of memory is expensive because it can result in a lot of data needing to be moved. Therefore, linked lists are usually better for dynamic lists as insertion and removal do not require more than changing some pointers (data does not need to be moved around).",,,,
263,29,8,essay,PTR,,Förklara vad en pekare (pointer) är? ,Explain what a pointer is?,En pekare är en variabel som innehåller minnesadressen till det som den pekar på. ,A pointer is a variable that contains the memory address of what it points to.,,,,
264,,8,essay,DTS,,"Två typer av specialiserade listor är stack och kö, beskriv hur de skiljer sig från varandra! ","Two types of specialized lists are stack and queue, describe how they differ from each other!",En stack är en lista där man lägger till och tar bort element i samma ände enligt principen ”last-in-first-out” (LIFO). En kö är en lista där man lägger till i ena änden och tar bort i den andra änden enligt principen ”first-in-first-out” (FIFO). ,"A stack is a list where you add and remove elements at the same end according to the ""last-in-first-out"" (LIFO) principle. A queue is a list where you add at one end and remove at the other end according to the ""first-in-first-out"" (FIFO) principle.",,,,
265,,8,essay,DTP,,Vad skiljer en abstrakt datatyp (abstract data type) från en sammansatt datatyp (aggregate type / struct / record)? ,What distinguishes an abstract data type (abstract data type) from a composite data type (aggregate type / struct / record)?,"En abstrakt datatyp beskriver en datatyp och dess operationer (metoder, procedurer, funktioner), alltså både vad som lagras (data) och vad man kan göra med det. 
En record/struct är en sammansatt datastruktur som är en samling av data som kan vara av olika datatyper, men innehåller inga operationer (metoder, procedurer, funktioner). ","An abstract data type describes a data type and its operations (methods, procedures, functions), i.e. both what is stored (data) and what can be done with it. 
A record/struct is a composite data structure that is a collection of data that can be of different data types, but does not contain any operations (methods, procedures, functions). ",,,,
266,,8,essay,DTS,,"I en variant av listor lägger man till och tar bort element i samma ände, vad kallas den datastrukturen? I en annan variant lägger man till element i ena änden och tar bort i den andra, vad kallas den datastrukturen? ","In a variation of lists, you add and remove elements at the same end, what is that data structure called? In another variation, elements are added at one end and removed at the other, what is that data structure called?","Det första är en stack, det andra är en kö. ","The first is a stack, the second is a queue.",,,,
267,,8,essay,DTP,,Vad kännetecknar en aggregattyp (struct/record)?,What characterizes an aggregate type (struct/record)?,"Ett block av data där olika element kan vara av olika datatyp, elementen kallas fält och nås med namn.","A block of data where different elements can be of different data types, the elements are called fields and are accessed by names. ",,,,
268,,8,essay,DTS,,"Kan en kö implementeras som en statisk eller dynamisk datastruktur, både och, eller varken eller? Motivera ditt svar! ","Can a queue be implemented as a static or dynamic data structure, both, or neither? Motivate your answer!","En kö kan både implementeras som en statisk datastruktur, t.ex. som en array, och som en dynamisk datastruktur bestående av element och pekare.","A queue can be implemented both as a static data structure, e.g. as an array, and as a dynamic data structure consisting of elements and pointers.",,,,
269,,8,essay,DTS,,Vad kännetecknar en dynamisk datastruktur till skillnad från en statiskt datastruktur? ,What distinguishes a dynamic data structure from a static data structure?,"En dynamisk datastruktur kan ändra form och storlek över tiden, men det kan inte en statisk datastruktur.","A dynamic data structure can change form and size over time, but a static data structure cannot.",,,,
270,,8,essay,DTS,,Vad kännetecknar datastrukturen binärt träd?,What characterizes the data structure binary tree?,Att varje nod i trädet har som mest två barn (noder).,Each node in the tree has at most two children (nodes).,,,,
271,,8,essay,DTS,,Vad kännetecknar rotnoden i en träd-datastruktur?,What characterizes the root node in a tree data structure?,Att den inte har någon förälder (föräldra-nod).,It does not have any parent (node).,,,,
272,28,8,essay,DTP,,Beskriv en fördel och en nackdel med att lagra en aggregattyp (struct/record) i ett sammanhängande block istället för de olika delarna på separata platser utpekade av pekare.,Describe an advantage and a disadvantage of storing an aggregate type (struct/record) in a contiguous block instead of the different parts in separate locations designated by pointers.,"Fördel: lite snabbare (direkt) åtkomst till de olika delarna. Nackdel: de olika delarna har alltid samma storlek, vilket innebär att det går åt onödigt utrymme och att data som kräver mycket plats kanske inte får plats.","Advantage: slightly faster (direct) access to the various parts. Disadvantage: the different parts are always the same size, which means that unnecessary space is used and data that requires a lot of space may not fit.",,,,
273,28,8,essay,DTS,,Vad kännetecknar en array?,What characterizes an array?,"Ett block av data där alla element är av samma datatyp, och elementen nås genom index.","A block of data where all elements are of the same data type, and the elements are accessed by indexes/indices.",,,,
274,28,8,essay,DTS,,Vad kännetecknar en statiskt datastruktur?,What characterizes a static data structure?,Strukturens form eller storlek kan inte förändras över tiden.,The form or size of the structure cannot change over time.,,,,
275,29,8,essay,DTS,,Vad kännetecknar en dynamisk datastruktur?,What characterizes a dynamic data structure?,Strukturens form och storlek kan förändras över tiden.,The form and size of the structure can change over time.,,,,
276,29,8,essay,DTP,,Beskriv en fördel och en nackdel med att lagra de olika delarna av en aggregattyp (struct/record) på separata platser utpekade av pekare istället för i ett sammanhängande block.,Describe an advantage and a disadvantage of storing the different parts of an aggregate type (struct/record) in separate locations designated by pointers instead of in a contiguous block.,"Fördel: varje del kan få precis det utrymme som krävs, varken mer eller mindre. Nackdel: åtkomst till de olika delarna blir lite långsammare eftersom det innebär att följa en pekare istället för att direkt hämta värdet.","Advantage: each part can get exactly the space required, no more, no less. Disadvantage: accessing the various parts becomes a bit slower because it involves following a pointer instead of directly retrieving the value.",,,,
277,,9,essay,DBS,,Vad är ett databashanteringssystem (database management system)? ,What is a database management system (DBMS)?,"Ett system som sköter databaser genom att utföra kommandon för att uppdatera databaserna och för att hämta data från databaserna. En programvara som hanterar skapande, uppdatering, sökning och administration av databaser.","A system that manages databases by executing commands to update the databases and to retrieve data from the databases. A software that handles the creation, updating, searching and administration of databases.",,,,
278,,9,essay,DBS,,Vad innebär commit och rollback i databas-sammanhang? ,What do commit and rollback mean in a database context?,En commit innebär att en transaktion är genomförd och godkänd av databashanteraren. En rollback innebär att det har uppkommit något problem under en transaktion och att databashanteraren därför återställer databasen i det tillstånd den hade före transaktionen (transaktionen rullas tillbaka). ,A commit means that a transaction has been completed and approved by the database manager. A rollback means that a problem has occurred during a transaction and that the database manager therefore restores the database to the state it had before the transaction (the transaction is rolled back).,,,,
279,,9,essay,DBS,,"För relationsdabaser finns det tre (3) operationer (relational operations), med vars hjälp man kan skapa nya tabeller som utgör delmängder och/eller kombinationer av befintliga tabeller. Vilka operationer? ","For relational databases, there are three (3) operations (relational operations), with the help of which you can create new tables that constitute subsets and / or combinations of existing tables. What operations?","Select, project och join. ","Select, project och join. ",,,,
280,,9,essay,DMN,,Vad innebär data mining?,What does data mining mean?,Data mining handlar om att upptäcka mönster i samlingar av data. ,Data mining is about discovering patterns in collections of data.,,,,
281,30,9,essay,DBS,,Vad är ett data warehouse? ,What is a data warehouse? ,"En samling statisk data från en eller flera källor, avsedd för analys av datat. ","A collection of static data from one or more sources, intended for analysis of the data.",,,,
282,,9,essay,DBS,,Vad är en databas (database) i förhållande till ett databashanteringssystem (DBMS – database management system)? ,What is a database (database) in relation to a database management system (DBMS)?,"En databas är en organiserad samling av data (som kan hanteras av ett databashanteringssystem). Ett databashanteringssystem är ett system för att skapa, uppdatera och administrera databaser, samt besvara frågor ställda mot databaserna. ","A database is an organized collection of data (that can be managed by a database management system). A database management system is a system for creating, updating and administering databases, as well as answering questions posed to the databases.",,,,
